OCC_CODE,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE
13-1081,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1082,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1110,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1111,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1120,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1121,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1130,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1131,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1140,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1141,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1150,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1151,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1160,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1161,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1190,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-1199,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2040,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2041,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2050,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2051,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2052,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2053,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2054,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2060,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2061,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2070,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2071,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2072,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2080,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2081,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2082,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2090,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
13-2099,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-0000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1200,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1210,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1211,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1212,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1220,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1221,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1230,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1231,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1232,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1240,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1241,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1242,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1243,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1244,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1250,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1251,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1252,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1253,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1254,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1255,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1290,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-1299,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2040,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2041,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2050,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2051,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2090,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
15-2099,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-0000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-1000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-1010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-1011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-1012,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-1020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-1021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-1022,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2040,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2041,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2050,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2051,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2060,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2061,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2070,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2071,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2072,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2080,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2081,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2110,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2111,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2112,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2120,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2121,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2130,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2131,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2140,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2141,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2150,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2151,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2160,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2161,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2170,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2171,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2190,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-2199,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3012,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3013,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3019,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3022,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3023,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3024,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3025,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3026,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3027,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3028,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3029,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
17-3030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
